Unitig	Length	Percentage_low_confidence_bases	Telomeric_repeats_start	Telomeric_repeats_end	Average_coverage	Filtered_based_on_coverage	Blast_mitochondrion_sum	Blast_mitochondrion_percent
000063F	182557	0.2755	No	No	61.0826	pass	0	0.0
000064F	180574	0.0	No	No	70.2636	pass	0	0.0
000065F	178501	0.0	No	Yes	73.2328	pass	0	0.0
000066F	167533	0.006	No	No	62.537	pass	0	0.0
000067F	162058	0.0019	No	No	59.5704	pass	0	0.0
000068F	152409	1.2867	No	No	59.4467	pass	0	0.0
000069F	151256	0.281	No	No	53.5055	pass	0	0.0
000070F	150541	0.008	No	No	51.8292	pass	0	0.0
000071F	138903	0.0101	No	No	54.7139	pass	0	0.0
000072F	136412	0.3072	No	No	72.2516	pass	0	0.0
000073F	136380	0.0139	No	No	64.9309	pass	0	0.0
000074F	131489	0.0	No	Yes	129.7348	pass	0	0.0
000075F	121623	0.0041	No	No	54.5171	pass	0	0.0
000076F	125830	0.445	No	No	60.7559	pass	0	0.0
000077F	121420	2.5243	No	No	64.4576	pass	0	0.0
000078F	113210	2.2454	No	No	64.1935	pass	0	0.0
000079F	110077	0.9339	No	No	73.0964	pass	0	0.0
000080F	99616	1.0631	No	No	53.8358	pass	0	0.0
000081F	92123	0.8141	No	No	58.5836	pass	0	0.0
000082F	87390	1.7153	No	No	57.3625	pass	0	0.0
000083F	86155	0.9332	No	No	52.5798	pass	0	0.0
000084F	83932	0.0	No	Yes	73.1348	pass	0	0.0
000085F	82849	0.2631	No	No	60.3237	pass	0	0.0
000086F	76201	0.0039	No	No	59.1846	pass	0	0.0
000087F	65248	0.8705	No	No	40.0883	fail	0	0.0
000088F	64522	0.017	No	No	53.0369	pass	0	0.0
000089F	61727	30.6932	No	No	61.6228	pass	0	0.0
000090F	61448	0.0195	No	No	1928.1223	fail	33383	54.33
000091F	59428	0.0976	No	No	39.6513	fail	0	0.0
000092F	58229	0.0	No	No	40.8285	fail	0	0.0
000093F	57231	0.8737	No	No	47.2899	fail	0	0.0
000094F	56662	0.0124	No	No	55.0199	pass	0	0.0
000095F	55969	0.0071	No	No	56.2726	pass	0	0.0
000096F	52787	24.9721	No	No	38.343	fail	0	0.0
000097F	52448	0.0934	No	No	45.6836	fail	0	0.0
000098F	49739	0.0	No	Yes	70.8493	pass	0	0.0
000099F	47107	0.0	No	No	56.3487	pass	0	0.0
000100F	41748	3.6553	No	No	94.9072	pass	0	0.0
000101F	39064	1.3158	No	No	55.6902	pass	0	0.0
000102F	38265	0.0209	No	No	59.3499	pass	0	0.0
000103F	38348	0.0209	No	No	33.4879	fail	0	0.0
000104F	32450	0.7766	No	No	3382.4849	fail	18473	56.93
000105F	34228	1.4608	No	No	55.6791	pass	0	0.0
000106F	33382	0.716	No	No	39.0578	fail	0	0.0
000107F	32949	0.6222	No	No	42.5229	fail	0	0.0
000108F	29754	1.6905	No	No	43.6138	fail	0	0.0
000109F	29747	0.8034	No	No	44.826	fail	0	0.0
000110F	29156	2.3529	No	No	318.4146	fail	0	0.0
000111F	27136	0.3096	No	No	27.2357	fail	0	0.0
000112F	25916	4.0593	No	No	45.4482	fail	0	0.0
000113F	22122	0.0362	No	No	58.6958	pass	0	0.0
000114F	21953	0.0	No	No	111.613	pass	0	0.0
000115F	18434	5.7936	No	No	22.952	fail	0	0.0
000116F	5950	1.2605	No	No	10.095	fail	0	0.0
000117F	15652	81.5679	No	No	2.6412	fail	0	0.0
000118F	15271	0.2947	No	No	853.3367	fail	10037	65.73
000119F	15277	0.9557	No	No	38.0244	fail	0	0.0
000120F	11670	44.6615	No	No	70.1273	pass	5230	44.82
000121F	11085	9.4452	No	No	179.0422	pass	4968	44.82
000122F	10752	28.1157	No	No	98.5797	pass	5468	50.86
000123F	10829	0.0	No	No	36.3283	fail	0	0.0
000124F	10689	15.3709	No	No	12.4097	fail	0	0.0
000125F	9228	0.0	No	No	2198.4436	fail	7519	81.48
000126F	8338	0.0	No	No	3420.8479	fail	5834	69.97
000127F	8023	0.0125	No	No	35.0172	fail	0	0.0
000128F	7872	13.1479	No	No	149.0562	pass	4193	53.26
000129F	5979	0.1338	No	No	19.8976	fail	0	0.0
000130F	5195	79.8845	No	No	28.4815	fail	2323	44.72
000131F	5053	50.6828	No	No	45.2509	fail	2575	50.96
000132F	4771	100.0	No	No	2.2124	fail	0	0.0
000133F	3670	82.0163	No	No	31.0512	fail	1889	51.47
000134F	3488	56.3933	No	No	14.6564	fail	0	0.0
000135F	3156	81.2104	No	No	58.3586	pass	929	29.44
000136F	2246	100.0	No	No	1.0415	fail	0	0.0
000137F	1996	100.0	No	No	42.3434	fail	1197	59.97
138	16006	11.2833	No	No	29.4742	fail	0	0.0
